發生時間,發生地點,死亡受傷人數,車種,經度,緯度
107年01月01日 05時12分00秒,彰化縣大村鄉貢旗村田洋巷7號前0.0公尺東側,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.578892,23.962235
107年01月01日 14時55分00秒,桃園市蘆竹區大竹北路418號前0.0公尺北側,死亡1;受傷0,普通輕型-機車,121.244920,25.036777
107年01月01日 17時10分13秒,苗栗縣竹南鎮中美里澎湖厝83號前,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,120.861178,24.682004
107年01月01日 17時30分20秒,南投縣集集鎮投54 6公里西向中內,死亡1;受傷0,普通重型-機車;民營公車-大客車,120.771165,23.827210
107年01月01日 19時30分00秒,彰化縣和美鎮大霞里彰和路3段509號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人;自用-小客車,120.502953,24.102967
107年01月02日 09時51分00秒,雲林縣虎尾鎮平和橋與防汛道路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.458930,23.700923
107年01月02日 10時00分00秒,桃園市中壢區中豐路北側 / 桃園市中壢區永嘉街,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,121.219521,24.959527
107年01月02日 13時34分00秒,新北市樹林區中正路 / 新北市樹林區三俊街,死亡1;受傷0,自用-大貨車;普通重型-機車,121.371249,24.923638
107年01月02日 15時30分59秒,花蓮縣豐濱鄉台11線 67公里40.0公尺處北,死亡1;受傷0,其他車-其他車,121.524078,23.579573
107年01月02日 16時10分00秒,雲林縣元長鄉台19線元進莊路口,死亡1;受傷0,普通重型-機車;民營客運-大客車,120.310998,23.629405
107年01月02日 16時10分00秒,屏東縣新園鄉中慶巷,死亡1;受傷1,自用-全聯結車;普通重型-機車;乘客-人,120.455174,22.539275
107年01月02日 16時29分00秒,臺中市東區旱溪里旱溪街前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,24.140329,120.696681
107年01月02日 19時55分00秒,基隆市七堵區工建路184號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,121.700766,25.091640
107年01月03日 14時47分00秒,臺北市中山區民權東路2段 / 臺北市中山區松江路,死亡1;受傷0,民營公車-大客車;行人-人,121.497846,25.078875
107年01月03日 16時01分00秒,新北市新店區北宜路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.542779,24.953206
107年01月04日 06時40分00秒,苗栗縣苗栗市嘉盛里經國路三段與育英街53巷路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.840394,24.567602
107年01月04日 08時58分00秒,高雄市左營區新庄仔路46號前0.0公尺,死亡1;受傷0,普通重型-機車,120.295769,22.678293
107年01月04日 12時36分00秒,彰化縣芳苑鄉頂廍村斗苑路頂廍段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.337380,23.912923
107年01月04日 15時42分00秒,臺南市永康區正強街西側 / 臺南市永康區正強街,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.252004,23.026821
107年01月04日 19時42分47秒,臺南市仁德區上崙里義林南路東側 / 臺南市仁德區上崙里民安路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.263000,22.946904
